nSeq,frontal,smoothed_values,Wavetype
413,28609,34283.334912547136,0
414,29208,34219.353570981904,0
415,31044,34110.3679901944,0
416,33429,33976.8149374809,0
417,33780,33796.68610745045,0
418,33208,33617.287566260806,0
419,33576,33444.738320159406,0
420,35566,33270.53648864885,0
421,37752,33100.1622388474,0
422,38521,32924.3888635846,0
423,37344,32713.44056613089,0
424,34664,32553.192327197896,0
425,32592,32473.930522039525,0
426,31824,32428.915422696286,0
427,32024,32387.453886742598,0
428,32448,32327.625097878717,0
429,32680,32310.7092853993,0
430,32996,32318.946913764357,0
431,33902,32337.832871018625,0
432,32968,32384.36183878169,0
433,30141,32449.490773663147,0
434,28743,32533.445139588403,0
435,28852,32570.249590391883,0
436,29316,32522.78975969849,0
437,29436,32384.740914019218,0
438,29140,32126.864819648188,0
439,30112,31785.05374434017,0
440,31972,31432.874201284674,0
441,33712,31135.28162817616,0
442,35108,30962.201983550425,0
443,35236,30886.772930905576,0
444,34597,30889.880794570596,0
445,33512,30944.23952064901,0
446,32412,31055.42457174229,0
447,31572,31220.287522816023,0
448,33048,31411.628469475752,0
449,33812,31608.949842601858,0
450,31536,31829.67798546779,0
451,28942,32116.32621359674,0
452,27663,32507.99612151577,0
453,27620,32985.80190939792,0
454,29472,33460.66671456078,0
455,33972,33843.94446499114,0
456,36940,34109.81731860003,0
457,37080,34299.62255130082,0
458,35220,34440.21022564649,0
459,33052,34635.40533702054,0
460,31708,34886.99612936341,0
461,32740,35136.565217146155,0
462,34432,35359.69265790764,0
463,34972,35538.326017953776,0
464,34777,35685.019201122115,0
465,34457,35773.27133220216,0
466,33565,35787.34586890947,0
467,34712,35756.34537666874,0
468,36924,35675.034282321096,0
469,38480,35556.69153404198,0
470,39348,35399.73086368063,0
471,38896,35246.97323931207,0
472,37824,35163.23906221875,0
473,37584,35141.16551659019,0
474,37656,35134.186991124945,0
475,37496,35082.68830948725,0
476,37204,34979.47103041329,0
477,36608,34842.0202262388,0
478,36526,34672.25427523801,0
479,35641,34463.18810233751,0
480,35264,34234.29966041463,0
481,36108,34008.44518864264,0
482,36968,33817.4140442223,0
483,36648,33622.61010299744,0
484,31200,33420.99171052997,0
485,24613,33249.34698489239,0
486,21500,33117.722257525194,0
487,21852,33012.680796864355,0
488,24780,32922.05419798828,0
489,28788,32812.61756522162,0
490,32160,32698.05018053975,0
491,34464,32604.236031126544,0
492,33840,32565.823098743298,0
493,33860,32636.037475903242,0
494,35024,32750.68614564012,0
495,36222,32847.76615125783,0
496,35754,32915.94289381996,0
497,34664,32946.37232300743,0
498,35264,32970.49074437027,0
499,37292,33085.72822956981,0
500,39616,33283.75851029738,0
501,40324,33515.6822915649,0
502,37716,33775.575721476234,0
503,32981,34033.85321052497,0
504,29768,34206.04150498055,0
